volume,量；积；音量；(书籍的)卷
slip,溜；滑倒；悄悄塞；差错；纸条
employ,雇用；采用
unemployed,失业的
antibiotic,抗生素；抗生的
spread,传播；展开；传播
inertia,惯性；惰性；缺乏活力
neglect,忽视；忽略；忽视
intellectual,智力的；才智的
sort,类别；种类；把……分类；安排妥当
personnel,全体人员；职员；人事部门
plenty,大量；充裕
strive,努力；奋斗；争取
memorandum,备忘录
strain,压力；紧张；品种；拉伤
century,世纪
incentive,激励；刺激；动力
contrast,明显的差异；对比；对比
contrary,相反的；截然不同的；相对立的；相反的事实；反面
vision,视力；视觉；视野；远见卓识；幻想
visual,视觉的；视力的；视觉资料
device,装置；设备；手段
plane,飞机；平面；平的
planet,行星；地球
union,工会；协会；联盟；联合
universe,宇宙；经验领域
unique,唯一的；独一无二的；独特的；特有的
phenomenon,现象
emphasis,强调
constitute,构成；组成；被视为；成立
institute,协会；研究所；学院；制定
institution,机构；慈善机构；制度；建立
engineer,工程师；设计制造；安排
gene,基因
generate,产生；引起
generation,一代人；产生
promise,承诺；预示；诺言；承诺；获得成功的迹象
commit,犯(罪)；自杀；承诺；保证；投入；致力于
mission,任务；使命；布道
commission,委员会；受托之事；佣金；委托；委任
committee,委员会
mislead,误导
colleague,同事；同僚
collective,集体的；总体的；共同的；企业集团
collapse,倒塌；崩溃；倒塌；暴跌
combine,结合；联合；兼有
comprehensive,全面的；综合性的；详尽的
compel,强迫；使必须；引起
complete,完成；使完整；完全的；彻底的；完整的；包括
contract,合同；签订合同；收缩
contest,比赛；竞赛；竞争；争取赢得
conflict,冲突；战斗；冲突
congress,代表大会；国会
concept,概念；想法
conclude,得出结论；达成协议；结束
conduct,组织；进行；引导；行为；实施办法
confine,限制；限定；监禁
connect,连接；联系
conquer,征服；战胜；克服；攻克；控制
consume,消费；消耗；喝；使充满；烧毁
contact,接触；联系；人际关系；联系
content,内容；目录；主要内容；含量；满意的
continue,继续；持续
consequence,后果；结果；影响；重要性
conference,会议；研讨会；正式商谈
confidence,信心；信任；自信
epidemic,流行病；盛行
tactic,策略；战术
statistic,统计数字；统计数据；统计学
demographic,人口统计的；人群
chronic,长期的；慢性的
dynamic,充满活力的；动态的；动态；力学
ethnic,民族的；种族的；具有民族特色的
organic,有机的；有机物的；器官的
plastic,塑料；信用卡；塑料的；可塑的；做作的
domestic,本国的；国内的；家用的；家庭的；驯养的
tiny,微小的；极小的
academy,专科院校；研究院
policy,政策；原则
controversy,争议；争论；辩论
strategy,策略；策划；战略学